id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
875621630800624958,Private Bedroom in Beacon Hill,80104460,Peter,,Beacon Hill,42.360031641533844,-71.06746991939835,Private room,77,2,104,2024-09-16,6.29,3,275,83,STR-519747
875636434000056617,Ottoman Cot in Beacon Hill,80104460,Peter,,Beacon Hill,42.3581736763962,-71.06559134916827,Shared room,68,2,72,2024-09-13,4.36,3,327,53,STR-519747
875929241345531100,Walk! Location - First floor - Steps from the T!,47584294,Jessy And Diego,,Fenway,42.35039487296866,-71.09370635747206,Entire home/apt,218,2,50,2024-09-01,3.09,18,308,32,Exempt: This listing is a unit that has contracts with hospitals
876342166686729329,Authentic Brownstone Boston Studio!,409684302,Justin And Mandy,,South End,42.34083,-71.0799,Entire home/apt,352,1,4,2024-08-28,0.47,34,317,4,LB-434068
876933034869554907,Luxury 2Br 2Ba bathrooms South End Boston Balcony,163848078,Adam,,South End,42.34593881051339,-71.06482732943591,Entire home/apt,689,29,10,2024-07-17,0.63,53,365,4,Exempt: This listing is a unit used for furnished institutional or business stays
876996002748010842,Ideal for long stays | elegant suite Boston views,416027128,R Living,,Brighton,42.3479569,-71.1451158,Entire home/apt,168,29,64,2024-08-20,4.04,20,246,49,Exempt: This listing is a unit that has contracts with hospitals
877498105178801847,"Sunfilled, 3 bd 2 bath colonial",131662,Liz,,West Roxbury,42.29058965870792,-71.1647514469731,Entire home/apt,,90,0,,,1,12,0,STR-481989
878794587007595979,Charming South End Farmhouse - Near Northeastern!,74782650,Holly,,Roxbury,42.33467151684205,-71.08334665548122,Entire home/apt,479,2,99,2024-09-16,5.85,1,281,67,STR-525603
879147136417316325,Cute Studio in Longwood/Fenway,406353986,Cassandra And Michael,,Mission Hill,42.333891348395305,-71.1064474663934,Entire home/apt,181,2,26,2024-09-02,2.98,17,173,26,STR-545176
879147142976191744,Stylish Compact Efficiency Unit - Longwood/Fenway,406353986,Cassandra And Michael,,Mission Hill,42.33285,-71.10488,Entire home/apt,154,2,51,2024-09-03,3.52,17,110,36,Str-545178
880668314027190648,Private Room in Condo Near BU Hospital,447259209,Gene,,Roxbury,42.33734830810711,-71.07831660658121,Private room,75,29,10,2024-07-31,0.61,1,57,1,STR-526853
881255998576454199,Boston Marathon Paradise!,7506334,Leah,,Roslindale,42.29281338323787,-71.13442631838394,Entire home/apt,,3,1,2023-06-18,0.07,1,0,0,STR-528092
882571653898142753,"Art boutique apartment ""Fish Eye"" in Charlestown.",492835190,Ivan,,Charlestown,42.37208846607587,-71.06310994800023,Entire home/apt,169,29,4,2024-07-31,0.27,4,350,3,
882717185163988193,Luxurious and amazing apartment,158837906,Dan,,Downtown,42.35446104030684,-71.06227778589717,Entire home/apt,,29,0,,,10,364,0,STR-009577
882729415678650053,Luxurious and Upscale Apartment,158837906,Dan,,Downtown,42.35662505118002,-71.05963425223729,Entire home/apt,,29,0,,,10,298,0,STR-009577
882839165476645155,"Furnished Private Condo, Short Term Rental!",512880683,Michael,,South Boston,42.32950436717916,-71.05785239472759,Entire home/apt,120,30,0,,,1,242,0,STR-486031
883551925352400121,"Boston 1bed/living, 7minute to T",40995423,Bonnie,,Dorchester,42.31941973770849,-71.05791710297277,Entire home/apt,109,31,0,,,9,363,0,
883863319226431674,Eastie near the airport Great location,38381764,Ivan,,East Boston,42.37885436946893,-71.0319274351848,Entire home/apt,109,1,28,2024-09-10,1.68,1,326,17,STR-541684
883927278367713777,Boston by the beach with patio & private bathroom!,11766878,Jillian,,South Boston,42.336180098174786,-71.02861688707804,Private room,161,1,28,2024-09-11,4.40,2,140,28,STR-537705
885647634826282607,"Historic Home, Newly Renovated",67383376,Sarah,,Jamaica Plain,42.31050631031433,-71.11619370533587,Entire home/apt,,29,0,,,1,260,0,
886120883825067654,"New Boston 1bed/living, close T",151248865,Yao,,Dorchester,42.3194004182431,-71.05758102174532,Entire home/apt,105,29,1,2023-10-01,0.08,8,363,1,
886281829949013984,Charming New England Artist House,186813303,Daniel And Maya,,Jamaica Plain,42.314445917956185,-71.09750648675015,Entire home/apt,250,2,8,2024-06-23,0.52,1,339,4,STR-528400
886761634149846872,"Blueground | Back Bay, gym & w/d, nr restaurants",107434423,Blueground,,Back Bay,42.348645,-71.0793489,Entire home/apt,281,32,0,,,355,212,0,
887651543834186054,Charming vintage apartment!,45170293,Melissa,,Dorchester,42.2905563,-71.0523528,Entire home/apt,180,3,38,2024-09-09,2.34,1,10,14,STR-525637
887824235662245084,Incredible Boston Home | Near T,151238588,Charlie,,Dorchester,42.3172141,-71.0598504,Entire home/apt,792,1,8,2023-12-12,0.54,3,317,3,STR-445058
888998719313211377,Practical Private Room #1375 D,297860058,Sophia,,Mission Hill,42.33339,-71.10125,Private room,67,91,0,,,156,136,0,
889005884263645130,Classic Private Room #473 B,297860058,Sophia,,North End,42.36455,-71.05426,Private room,74,91,0,,,156,261,0,
889006279806089856,Convenient Private Room #471 C,297860058,Sophia,,North End,42.36642,-71.05581,Private room,76,91,0,,,156,158,0,
889355642762842640,"Downtown Studio Apt, Perfect for Medical Workers",2356643,StayNue,,Downtown,42.3507,-71.06544,Entire home/apt,61,29,1,2023-06-03,0.06,45,356,0,
889981292721825976,"New Spacious 2 Bed, 2 Bath unit w/ Elevator",31340713,Kama,,Roxbury,42.33726387317135,-71.0835430418494,Entire home/apt,368,29,4,2023-12-22,0.26,33,262,3,Exempt: This listing is a unit used for furnished institutional or business stays
