id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,date,quarter,log_price,price_category,availability_rate,is_highly_available,quarter_num,is_peak_season,neighborhood_avg_price,neighborhood_median_price,neighborhood_count,price_premium_pct,room_type_Entire home/apt,room_type_Hotel room,room_type_Private room
3969526,"Sensational South End!  2BR, no stairs.",5408229,Liesl,South End,42.33765,-71.07434,Entire home/apt,150.0,29,360,2024-07-30,2.95,1,92,5,2024-09-18,Q1,5.0106352940962555,Moderate,0.25205479452054796,False,1,False,261.17,204.0,585,-42.566144656736995,True,False,False
4000384,Sunlit room with private bath,10910804,Evelyn,Jamaica Plain,42.31826,-71.09956,Private room,115.0,2,218,2024-08-16,1.78,1,265,32,2024-09-18,Q1,4.74493212836325,Moderate,0.726027397260274,True,1,False,210.5,156.5,392,-45.36817102137768,False,False,True
4090224,Sanitized Modern 3BD private home-near BCEC,17783651,Tiffany,South Boston,42.3357,-71.05395,Entire home/apt,419.0,1,1019,2024-09-14,8.41,1,179,123,2024-09-18,Q1,6.037870919922137,Expensive,0.4904109589041096,False,1,False,263.12,209.0,396,59.24293098206142,True,False,False
4173285,"Bright, cozy bedroom in Victorian",2851756,Angela,Dorchester,42.28547,-71.06799,Private room,69.0,91,13,2023-12-15,0.11,1,194,1,2024-09-18,Q1,4.23410650459726,Budget,0.5315068493150685,True,1,False,118.56,91.0,1084,-41.80161943319838,False,False,True
4233242,Quiet Artist's Retreat,197327,Melissa,Jamaica Plain,42.31246,-71.10793,Private room,105.0,29,48,2023-08-31,0.4,2,276,0,2024-09-18,Q1,4.653960350157523,Moderate,0.7561643835616438,True,1,False,210.5,156.5,392,-50.1187648456057,False,False,True
4263736,AKBrownstone: Master Suite park view by T,11228809,Jonathan,Roxbury,42.32971,-71.0931,Private room,199.0,2,533,2024-09-08,4.4,6,36,76,2024-09-18,Q1,5.293304824724492,Comfort,0.09863013698630137,False,1,False,162.97,128.0,700,22.10836350248512,False,False,True
4278067,Studio apart Tremont St South End #2,9653086,Glenn,South End,42.34128,-71.07607,Entire home/apt,110.0,33,77,2024-09-03,0.64,6,241,4,2024-09-18,Q1,4.700480365792417,Moderate,0.6602739726027397,True,1,False,261.17,204.0,585,-57.88183941494046,True,False,False
4315439,Room Logan Airport  1/2 bathroom,22402141,Mirian,East Boston,42.38829,-71.00437,Private room,100.0,100,5,2019-09-01,0.05,2,363,0,2024-09-18,Q1,4.605170185988092,Budget,0.9945205479452055,True,1,False,164.36,135.0,412,-39.15794597225603,False,False,True
4364925,large & grand 2 bedroom South End by Copley Sq #3,9653086,Glenn,South End,42.34128,-71.07607,Entire home/apt,175.0,33,148,2023-12-29,1.24,6,207,2,2024-09-18,Q1,5.1647859739235145,Comfort,0.5671232876712329,True,1,False,261.17,204.0,585,-32.993835432859825,True,False,False
4364989,newly furn one bedroom by Copley #6,9653086,Glenn,South End,42.34128,-71.07607,Entire home/apt,125.0,31,86,2024-08-28,0.75,6,261,4,2024-09-18,Q1,4.8283137373023015,Moderate,0.7150684931506849,True,1,False,261.17,204.0,585,-52.138453880614165,True,False,False
4410765,"Grt Location, Big 3 Bed, Nr all Colleges, parking",9795590,Patrick,Brighton,42.35309,-71.14822,Entire home/apt,135.0,45,14,2024-08-10,0.13,1,247,2,2024-09-18,Q1,4.90527477843843,Moderate,0.6767123287671233,True,1,False,161.32,132.0,532,-16.31539796677411,True,False,False
4460532,AKBrownstone: modern treetop skyline view by T,11228809,Jonathan,Roxbury,42.32942,-71.09149,Private room,117.0,2,427,2024-09-09,3.56,6,42,86,2024-09-18,Q1,4.762173934797756,Moderate,0.11506849315068493,False,1,False,162.97,128.0,700,-28.20764557894091,False,False,True
4461613,Comfy Beacon Hill Studio Great for Work Travel #13,22348222,Maverick,Beacon Hill,42.36017,-71.06346,Entire home/apt,400.0,1,214,2024-09-12,1.88,88,268,35,2024-09-18,Q1,5.991464547107982,Expensive,0.7342465753424657,True,1,False,188.61,142.5,476,112.07783256455117,True,False,False
4461846,South End Studio Perfect for Work Travel #36,22348222,Maverick,South End,42.34441,-71.07633,Entire home/apt,377.0,1,104,2024-07-20,0.91,88,299,5,2024-09-18,Q1,5.932245187448011,Expensive,0.8191780821917808,True,1,False,261.17,204.0,585,44.350423096067686,True,False,False
4461901,"Stylish Downtown Studio in the SouthEnd, #8",22348222,Maverick,South End,42.34447,-71.07644,Entire home/apt,407.0,29,172,2024-01-19,1.52,88,273,5,2024-09-18,Q1,6.008813185442595,Expensive,0.7479452054794521,True,1,False,261.17,204.0,585,55.83719416472028,True,False,False
4500409,"Stylish Studio in Back Bay, on Newbury St; #1",22348222,Maverick,Back Bay,42.34982,-71.08264,Entire home/apt,408.0,29,164,2023-11-09,1.47,88,215,1,2024-09-18,Q1,6.0112671744041615,Expensive,0.589041095890411,True,1,False,273.15,224.0,639,49.36847885777047,True,False,False
